years_owned,property_value,square_feet,bedrooms,bathrooms,property_age,neighborhood,distance_to_t,school_rating,property_tax,has_liens,lien_amount,mortgage_rate,income_to_mortgage_ratio,market_inventory_months,avg_days_on_market,last_transaction_date,sale_probability
11,657248,691,3,2.0,69,Beacon Hill,0.74,8.2,6551,0,0,3.42,4.05,2.2,74,2014-04-11,0.28
2,816640,1986,2,2.5,18,Hyde Park,0.86,8.7,6028,0,0,4.03,5.85,4.8,47,2023-04-09,0.19
6,606375,2156,3,2.5,163,Charlestown,0.62,7.0,2765,0,0,4.26,4.47,3.3,45,2019-04-10,0.51
7,1126726,693,1,3.5,140,Mattapan,0.31,4.9,1000,0,0,5.01,3.15,5.1,26,2018-04-10,0.55
1,481617,2426,3,4.0,103,Brighton,0.6,6.8,5830,0,0,2.0,5.03,4.1,86,2024-04-08,0.33
7,693938,1461,2,2.5,50,Charlestown,0.29,9.2,6058,0,0,5.19,3.97,3.0,78,2018-04-10,0.49
2,618080,1902,4,1.5,25,South End,0.06,9.3,3026,1,7309,4.35,2.34,5.8,87,2023-04-09,0.02
1,1184093,2928,1,3.0,17,Roxbury,3.45,7.3,2624,0,0,4.93,3.28,2.8,36,2024-04-08,0.37
21,808966,2427,3,1.0,60,Dorchester,0.1,5.5,6311,0,0,5.25,1.73,0.5,31,2004-04-13,0.01
24,1059553,1612,3,1.5,124,Roxbury,0.05,9.6,8712,0,0,5.09,0.76,4.8,55,2001-04-14,0.02
12,304331,1176,3,3.0,69,Brighton,1.48,8.2,4010,0,0,2.0,2.36,4.0,28,2013-04-11,0.22
3,830115,400,3,1.5,112,Hyde Park,0.25,5.6,3240,0,0,2.91,3.65,5.4,36,2022-04-09,0.33
1,1016889,1296,3,1.5,115,Jamaica Plain,0.74,7.5,5597,0,0,5.0,3.65,2.2,14,2024-04-08,0.17
9,774685,1652,4,1.0,123,South Boston,0.28,7.4,6270,0,0,4.8,1.81,3.1,42,2016-04-10,0.3
5,1069644,1108,4,3.0,22,Fenway,0.35,6.0,4271,0,0,3.32,0.65,3.0,51,2020-04-09,0.49
1,594813,1708,2,2.0,53,Beacon Hill,0.21,7.5,9050,0,0,5.61,5.26,4.9,75,2024-04-08,0.19
5,1172804,1853,3,2.5,110,Dorchester,0.29,8.7,6803,1,1802,4.12,3.61,4.5,57,2020-04-09,0.27
1,1439669,1642,4,1.5,183,Mattapan,0.37,6.6,4237,0,0,5.83,5.37,3.8,62,2024-04-08,0.32
17,641148,1344,5,2.5,155,Charlestown,0.89,8.8,1815,1,14413,6.32,5.3,3.8,95,2008-04-12,0.01
3,616349,1918,4,2.5,100,Jamaica Plain,0.5,4.4,7638,0,0,4.92,4.38,1.8,23,2022-04-09,0.49
8,1186015,2109,3,1.5,164,Roxbury,2.01,10.0,7383,0,0,5.33,3.57,4.7,21,2017-04-10,0.33
3,1223871,1036,2,2.0,99,South Boston,0.03,7.1,4394,1,9257,3.59,3.02,4.7,41,2022-04-09,0.28
6,593141,2787,3,1.5,30,South Boston,0.49,8.6,5701,0,0,5.84,4.36,6.9,20,2019-04-10,0.44
6,623943,1730,3,4.0,122,Mattapan,0.61,7.3,4699,0,0,4.83,3.31,4.2,44,2019-04-10,0.4
2,665464,1813,3,2.0,158,Dorchester,1.77,5.8,6041,0,0,4.06,2.79,4.4,20,2023-04-09,0.18
25,346664,2295,3,3.5,214,East Boston,0.04,6.9,2950,0,0,2.67,0.98,4.2,23,2000-04-14,0.01
11,474404,1963,4,1.5,59,Allston,0.6,4.1,2664,0,0,3.77,3.4,2.5,15,2014-04-11,0.25
20,448757,2467,3,2.5,40,East Boston,1.35,8.0,6621,0,0,2.84,4.82,5.4,42,2005-04-13,0.01
16,519660,2000,4,2.5,134,Dorchester,0.19,7.3,6875,1,22662,5.64,5.01,3.4,18,2009-04-12,0.01
7,739594,1371,3,2.5,107,South End,1.46,6.7,4018,0,0,6.33,3.56,3.2,49,2018-04-10,0.33
18,820264,2053,2,4.0,101,Roxbury,0.01,8.1,3501,0,0,5.87,2.43,3.3,53,2007-04-13,0.07
1,1215150,999,3,2.0,165,Brighton,0.92,7.1,7295,0,0,8.0,4.58,3.4,25,2024-04-08,0.37
2,450493,1875,4,1.0,134,Jamaica Plain,1.89,7.9,3569,0,0,3.81,3.48,2.8,58,2023-04-09,0.19
1,1045296,1776,2,2.5,112,South Boston,0.75,8.4,5110,1,5079,5.39,3.06,3.8,54,2024-04-08,0.2
3,685803,1654,2,2.5,64,Brighton,0.4,6.2,4857,0,0,2.73,1.75,3.4,66,2022-04-09,0.3
4,735160,1710,5,2.0,128,Roxbury,0.03,5.7,2066,0,0,4.2,6.02,3.2,24,2021-04-09,0.29
3,952445,482,2,1.5,39,Jamaica Plain,1.77,4.4,5384,1,3847,2.28,4.39,4.2,23,2022-04-09,0.21
13,413183,1415,3,2.0,99,North End,0.44,7.2,5188,0,0,5.35,4.52,3.6,52,2012-04-11,0.1
4,864722,1864,3,1.5,83,Roslindale,0.02,7.7,5720,0,0,3.97,2.46,2.7,40,2021-04-09,0.35
3,799935,1911,3,2.0,29,Beacon Hill,0.82,5.0,5316,0,0,2.0,3.6,2.4,43,2022-04-09,0.31
6,897735,1080,3,2.0,107,Hyde Park,0.46,9.1,9271,0,0,3.47,3.4,3.6,77,2019-04-10,0.3
2,836750,2685,2,2.5,59,West Roxbury,0.09,5.8,7323,0,0,7.19,4.44,2.4,60,2023-04-09,0.37
12,1486590,1193,3,1.5,105,Mattapan,0.17,3.8,5077,0,0,5.12,5.13,2.3,54,2013-04-11,0.18
1,558678,2478,3,2.0,46,South End,0.05,9.2,5260,0,0,5.65,1.78,2.3,51,2024-04-08,0.09
31,590700,2099,3,1.5,134,Allston,0.6,4.0,8527,0,0,4.69,2.21,3.9,63,1994-04-16,0.27
11,563057,1347,2,1.5,198,Allston,0.68,8.4,6726,0,0,4.23,4.27,5.3,33,2014-04-11,0.11
2,583356,3042,3,2.5,39,South Boston,0.49,8.1,2541,0,0,4.52,2.89,4.0,20,2023-04-09,0.18
1,558783,964,2,3.5,46,Roslindale,1.19,7.5,6897,0,0,4.87,4.48,4.8,26,2024-04-08,0.35
12,1106704,2443,2,2.0,35,North End,1.38,6.2,7485,1,17465,2.86,3.05,3.4,25,2013-04-11,0.01
9,1176151,2500,2,2.5,74,Charlestown,0.67,7.8,8235,0,0,5.64,2.0,3.7,11,2016-04-10,0.07
10,578776,1330,2,3.0,105,North End,0.01,8.6,4197,0,0,6.18,1.39,6.0,51,2015-04-11,0.34
11,500293,2774,4,3.0,123,Mattapan,0.83,5.5,4051,0,0,4.21,4.08,4.7,31,2014-04-11,0.22
1,891424,1624,2,1.5,98,Hyde Park,0.38,8.5,3116,0,0,3.72,4.11,4.9,33,2024-04-08,0.23
4,584333,2002,4,4.0,121,South Boston,0.58,8.4,5616,0,0,3.39,4.66,3.1,27,2021-04-09,0.34
1,939879,1982,5,2.0,81,Hyde Park,0.73,7.4,6465,0,0,7.14,3.89,3.5,36,2024-04-08,0.25
14,810876,1705,3,1.5,59,Fenway,0.3,6.2,3973,0,0,3.82,0.5,4.1,83,2011-04-12,0.02
7,295276,2367,2,1.0,47,Mattapan,1.74,8.4,4716,0,0,5.48,4.1,2.6,15,2018-04-10,0.56
3,1214251,2355,3,2.0,76,Mattapan,0.1,7.8,1000,0,0,4.22,1.75,0.5,92,2022-04-09,0.19
1,1288763,576,4,1.0,48,Roslindale,0.78,5.5,8018,0,0,4.13,1.26,4.1,42,2024-04-08,0.25
3,566163,2713,3,1.5,103,Roxbury,0.0,6.4,1870,0,0,3.35,1.11,4.9,28,2022-04-09,0.39
3,633689,636,1,1.5,48,North End,1.81,8.2,5749,0,0,3.04,1.0,3.6,30,2022-04-09,0.23
10,835759,2522,3,3.0,63,Charlestown,0.08,7.2,5476,0,0,5.61,3.83,2.6,22,2015-04-11,0.2
8,850337,2588,4,3.0,150,North End,0.07,8.6,5091,0,0,3.01,2.62,3.0,13,2017-04-10,0.46
16,947563,1036,4,1.5,157,Brighton,0.28,6.5,5137,0,0,5.19,1.68,0.5,21,2009-04-12,0.01
5,1353061,1512,2,3.0,155,Allston,0.33,5.5,2976,0,0,4.64,3.53,3.0,36,2020-04-09,0.35
1,696915,1026,3,3.0,82,Roxbury,0.17,10.0,4343,0,0,5.63,2.17,1.8,32,2024-04-08,0.34
9,510510,1649,2,2.5,60,East Boston,0.62,4.5,6937,0,0,3.59,4.68,2.5,47,2016-04-10,0.35
11,336204,1584,2,1.0,112,Hyde Park,0.41,6.3,7530,1,20122,6.12,5.24,1.8,27,2014-04-11,0.01
6,530720,2345,4,2.5,49,North End,0.02,7.4,4158,0,0,4.29,3.24,1.6,25,2019-04-10,0.6
11,740061,2717,2,3.5,127,Dorchester,0.27,8.5,1879,0,0,8.0,5.15,2.0,111,2014-04-11,0.22
5,1288367,2776,2,2.5,57,Back Bay,1.16,8.0,3442,0,0,2.08,5.15,4.4,23,2020-04-09,0.36
6,594716,1406,1,1.5,74,Charlestown,0.82,10.0,8705,0,0,8.0,3.6,2.7,23,2019-04-10,0.43
4,817136,1653,4,2.0,128,East Boston,0.9,6.8,3561,0,0,4.31,5.58,1.8,62,2021-04-09,0.46
1,745073,621,4,2.0,24,Back Bay,0.84,5.7,4805,0,0,4.83,2.75,4.6,54,2024-04-08,0.42
1,1106517,1235,3,2.0,59,Mattapan,0.26,6.7,7831,0,0,3.59,1.15,3.7,29,2024-04-08,0.05
1,1508079,2475,4,1.0,104,Hyde Park,0.07,6.5,3946,0,0,2.15,1.63,0.5,56,2024-04-08,0.33
8,590739,2930,2,1.5,117,Mattapan,0.22,6.9,4668,0,0,3.71,2.7,5.0,39,2017-04-10,0.43
3,603168,935,3,3.0,106,South Boston,1.25,5.5,6588,0,0,3.95,4.14,3.6,27,2022-04-09,0.31
5,1063248,1385,3,3.0,74,Allston,2.76,8.2,8423,0,0,4.77,2.11,4.7,52,2020-04-09,0.44
17,954567,1781,1,1.0,135,South Boston,0.48,7.6,3708,0,0,6.18,2.69,3.2,37,2008-04-12,0.13
3,1304012,1996,3,4.0,46,North End,0.01,5.1,7784,0,0,4.79,2.0,5.9,14,2022-04-09,0.17
4,925178,1233,4,1.5,45,Hyde Park,0.11,8.5,4436,1,8441,4.81,2.72,2.9,52,2021-04-09,0.34
10,642212,2096,1,2.5,103,Back Bay,0.27,5.8,3228,0,0,5.08,5.11,0.5,34,2015-04-11,0.16
2,927196,1468,2,2.5,43,Brighton,0.6,5.2,5499,0,0,2.0,3.93,2.2,79,2023-04-09,0.19
1,1082611,1789,2,3.0,202,Back Bay,0.05,7.1,2684,0,0,2.01,2.81,4.3,58,2024-04-08,0.21
3,996144,2182,2,3.5,60,Roslindale,2.01,4.4,5944,0,0,2.25,4.96,3.7,41,2022-04-09,0.51
2,902182,1804,4,1.5,134,Roxbury,0.32,7.9,11299,0,0,3.94,3.53,3.3,30,2023-04-09,0.25
19,1070002,1494,3,3.0,38,Charlestown,1.71,2.7,7211,0,0,2.0,3.66,2.0,36,2006-04-13,0.02
12,1100788,1723,3,1.0,179,South Boston,1.06,5.5,4790,0,0,3.47,4.87,3.5,22,2013-04-11,0.34
8,1164647,1738,4,2.5,85,Allston,0.99,9.4,7104,0,0,2.45,3.09,3.5,40,2017-04-10,0.32
15,944612,1540,2,2.5,59,Back Bay,0.65,6.0,3136,0,0,5.23,4.6,3.5,83,2010-04-12,0.01
12,699864,1618,3,2.5,71,Brighton,0.69,6.2,3472,1,15440,5.16,4.51,4.3,99,2013-04-11,0.01
2,794014,2919,3,1.5,53,East Boston,0.71,8.9,4845,0,0,4.05,3.33,3.8,69,2023-04-09,0.42
16,1111952,2192,3,3.0,74,Roslindale,0.69,5.8,5175,1,6443,2.0,1.82,3.1,39,2009-04-12,0.01
6,504919,1593,5,1.5,40,South End,0.56,8.1,2413,0,0,4.14,3.52,2.0,17,2019-04-10,0.63
12,860601,2287,4,1.0,60,North End,3.01,8.8,4387,1,6731,4.99,4.86,5.5,35,2013-04-11,0.07
16,631998,1566,3,2.5,133,Back Bay,0.92,7.7,4710,0,0,5.72,4.48,6.5,60,2009-04-12,0.01
3,758623,2621,4,2.0,95,Hyde Park,1.05,4.8,8083,1,11410,7.13,5.55,6.1,56,2022-04-09,0.13
1,1133535,2058,2,3.0,45,Jamaica Plain,1.44,6.1,2413,0,0,6.18,2.91,4.5,33,2024-04-08,0.15
2,807329,1724,1,2.0,76,Back Bay,0.17,10.0,2227,0,0,4.75,4.44,1.0,32,2023-04-09,0.25
4,763930,2113,2,1.5,158,West Roxbury,0.06,6.3,5351,0,0,4.07,2.29,0.8,45,2021-04-09,0.81
12,342043,700,2,3.0,64,South End,0.46,10.0,7301,0,0,3.39,3.74,2.7,37,2013-04-11,0.3
14,973876,1011,3,2.0,42,Fenway,0.51,9.6,6103,0,0,6.53,4.83,3.4,35,2011-04-12,0.19
1,943645,964,3,1.5,114,Charlestown,1.24,7.8,5605,1,6660,4.75,4.59,3.4,34,2024-04-08,0.01
6,1398976,1900,4,2.5,18,Hyde Park,0.41,7.4,4422,0,0,5.45,3.62,3.8,75,2019-04-10,0.56
4,657666,3012,3,2.0,72,Allston,0.59,6.3,6352,0,0,3.61,3.18,1.4,21,2021-04-09,0.49
2,815745,3361,3,2.0,166,Back Bay,0.52,6.9,6653,0,0,2.64,2.31,5.9,31,2023-04-09,0.45
1,824815,2246,1,2.0,74,Charlestown,0.03,6.0,4485,0,0,3.9,3.23,5.8,32,2024-04-08,0.42
3,1223235,2150,1,3.0,140,Allston,0.67,6.9,3102,0,0,4.05,1.93,1.5,40,2022-04-09,0.19
21,721411,539,3,3.0,42,Hyde Park,1.23,5.0,3115,0,0,4.79,3.09,0.7,37,2004-04-13,0.01
3,833706,1420,3,2.5,73,Mattapan,0.12,4.9,6757,0,0,3.39,1.33,3.4,35,2022-04-09,0.2
6,932368,1248,4,1.0,69,Mattapan,0.63,9.0,1911,0,0,4.54,1.92,5.4,21,2019-04-10,0.3
9,805982,1365,2,3.0,111,Dorchester,0.63,4.6,8354,0,0,6.27,4.52,3.5,37,2016-04-10,0.35
4,616069,1682,1,2.5,88,Roxbury,0.13,8.3,4087,0,0,2.0,4.39,3.9,51,2021-04-09,0.32
25,808226,1469,3,2.5,178,Roxbury,0.09,4.2,5619,0,0,2.0,3.15,2.8,41,2000-04-14,0.21
23,1072089,414,2,2.0,62,Roslindale,2.74,7.9,6403,0,0,6.37,3.58,3.7,20,2002-04-14,0.18
3,442045,2323,1,3.0,87,Roslindale,0.35,6.7,3632,0,0,2.3,3.74,4.9,38,2022-04-09,0.34
5,789890,1049,3,2.5,70,Roslindale,0.18,9.0,4080,0,0,3.93,4.05,4.1,37,2020-04-09,0.59
3,539963,1967,2,1.0,84,East Boston,0.13,6.5,5263,0,0,5.41,3.92,4.4,30,2022-04-09,0.48
3,1108513,3251,3,2.0,79,Charlestown,0.77,4.0,3292,0,0,4.41,1.9,1.0,41,2022-04-09,0.3
1,293043,1156,2,3.0,48,East Boston,0.66,6.7,2864,0,0,4.39,0.57,6.7,26,2024-04-08,0.03
7,582323,400,2,1.0,129,West Roxbury,0.72,7.2,3044,0,0,4.61,2.28,1.0,52,2018-04-10,0.38
5,863163,1599,3,4.0,56,Dorchester,0.06,6.8,7418,0,0,8.0,3.31,3.7,95,2020-04-09,0.31
1,1219657,2570,4,2.5,54,Beacon Hill,1.57,7.9,5795,0,0,7.17,4.65,3.3,55,2024-04-08,0.26
3,730274,3170,3,2.0,30,South End,0.35,6.2,3413,0,0,3.46,3.78,3.3,24,2022-04-09,0.36
17,583440,939,4,1.5,61,Brighton,0.26,5.1,6745,0,0,6.08,4.14,4.8,51,2008-04-12,0.03
2,1314347,2147,2,1.5,56,Hyde Park,0.43,5.5,3524,0,0,5.26,2.42,2.4,58,2023-04-09,0.35
2,315595,1474,4,3.5,21,Hyde Park,0.35,6.2,1099,0,0,4.47,3.42,2.9,45,2023-04-09,0.19
5,200000,1725,2,1.5,74,Allston,1.39,6.2,6393,1,10172,3.14,3.58,1.8,47,2020-04-09,0.24
30,882004,3651,3,2.5,174,North End,1.85,10.0,8292,0,0,5.18,2.59,5.2,35,1995-04-16,0.18
2,599383,747,3,2.0,34,Allston,0.25,8.9,6116,0,0,4.04,2.22,3.9,19,2023-04-09,0.28
8,443630,1977,4,1.0,83,Mattapan,1.4,8.0,1225,0,0,3.93,3.23,4.5,34,2017-04-10,0.47
11,962506,2127,3,1.0,73,Beacon Hill,1.06,7.7,4952,0,0,3.35,4.29,4.7,22,2014-04-11,0.12
2,823140,2560,1,2.0,119,Brighton,1.87,7.4,4450,0,0,6.0,2.41,6.5,32,2023-04-09,0.25
10,580776,1868,1,4.0,124,South Boston,0.2,7.5,5756,0,0,3.35,3.25,6.2,27,2015-04-11,0.27
4,365908,2015,4,2.0,243,Brighton,0.6,7.2,3305,1,9075,3.36,5.13,4.0,21,2021-04-09,0.13
8,1011737,1525,3,2.0,97,South End,0.22,7.1,4333,0,0,5.67,2.88,3.7,73,2017-04-10,0.45
8,945060,1988,4,1.5,51,Brighton,1.22,3.9,2159,0,0,4.28,3.51,2.7,36,2017-04-10,0.32
6,720247,1559,2,2.0,60,South End,0.0,6.4,5443,0,0,4.32,3.37,4.6,28,2019-04-10,0.34
1,1303991,2235,2,2.0,64,East Boston,0.58,6.6,2234,0,0,6.05,3.27,4.6,16,2024-04-08,0.18
13,428974,1541,1,3.0,57,Fenway,0.29,5.9,5874,0,0,6.47,5.5,2.4,56,2012-04-11,0.27
3,292342,2063,5,2.0,197,Fenway,0.27,6.2,3498,0,0,2.0,3.87,4.6,41,2022-04-09,0.29
2,542427,1779,3,2.0,121,North End,0.72,7.5,1000,0,0,4.31,1.62,5.0,103,2023-04-09,0.32
1,736324,2588,4,1.0,28,South Boston,1.33,8.2,6587,0,0,2.38,5.33,1.8,25,2024-04-08,0.45
7,823001,1764,2,4.0,110,Brighton,0.66,7.4,5988,1,3065,3.92,3.83,3.8,70,2018-04-10,0.17
8,677629,558,3,1.5,43,Roslindale,1.34,8.1,7705,0,0,4.49,3.05,3.4,34,2017-04-10,0.46
1,855616,2683,3,1.0,123,Roxbury,0.22,8.1,1000,0,0,3.97,5.12,3.5,23,2024-04-08,0.42
6,374538,1165,2,2.5,152,Roxbury,0.51,6.6,3690,0,0,2.96,2.57,2.1,29,2019-04-10,0.51
2,1183129,1342,4,2.0,74,Dorchester,0.42,7.8,5263,0,0,2.89,5.56,0.8,39,2023-04-09,0.3
8,725354,1383,4,2.0,59,Charlestown,0.01,4.4,6143,1,10132,5.59,3.61,2.4,28,2017-04-10,0.25
2,1085188,2762,4,2.0,180,Hyde Park,0.57,6.4,2074,0,0,6.8,4.71,2.2,19,2023-04-09,0.19
9,852817,400,3,2.5,55,Fenway,0.76,6.2,5862,0,0,2.0,7.18,4.0,22,2016-04-10,0.25
4,887025,3996,2,1.5,51,North End,0.63,9.3,3856,0,0,4.01,3.72,4.1,48,2021-04-09,0.32
20,920930,2539,2,3.0,46,Jamaica Plain,0.93,7.5,1289,0,0,5.6,3.38,4.0,21,2005-04-13,0.24
2,884312,1956,5,2.0,81,Dorchester,0.59,5.0,3498,0,0,4.45,2.22,1.4,26,2023-04-09,0.22
3,942816,1761,1,2.0,97,Charlestown,0.05,7.9,6028,0,0,2.83,3.36,1.8,21,2022-04-09,0.26
1,1148745,1999,3,2.0,141,North End,0.09,8.4,1373,1,3158,3.78,2.26,2.6,42,2024-04-08,0.01
19,808956,2164,3,1.5,113,Jamaica Plain,0.64,6.9,6274,0,0,4.95,3.28,3.5,134,2006-04-13,0.05
15,962701,2251,3,2.5,112,Roxbury,0.23,8.0,5566,0,0,4.04,6.97,3.0,47,2010-04-12,0.1
3,723079,2188,5,2.0,164,East Boston,0.06,3.3,4492,0,0,4.43,3.64,4.0,24,2022-04-09,0.45
8,1182035,1862,2,1.5,45,South Boston,0.39,3.0,1729,0,0,4.47,2.84,5.0,42,2017-04-10,0.43
12,547082,1661,2,2.0,33,Beacon Hill,0.57,5.2,1890,0,0,3.71,3.25,2.0,25,2013-04-11,0.08
6,1290282,1694,1,4.0,116,Roxbury,0.28,7.2,4203,0,0,5.72,3.01,2.1,40,2019-04-10,0.33
6,737952,1663,3,2.0,78,Beacon Hill,0.89,9.3,2750,0,0,3.78,4.76,3.7,78,2019-04-10,0.54
2,320767,2593,2,3.5,141,Beacon Hill,0.72,5.3,4332,0,0,2.99,3.39,3.4,35,2023-04-09,0.27
1,788431,2215,2,1.5,83,North End,0.28,5.7,6812,0,0,7.84,5.43,4.6,43,2024-04-08,0.35
16,545684,400,4,1.0,58,Mattapan,0.98,7.1,4453,0,0,4.38,3.12,3.5,36,2009-04-12,0.03
17,1002193,2259,4,1.5,117,South End,0.73,6.3,4399,1,14589,2.0,3.2,6.1,59,2008-04-12,0.01
8,554212,1936,2,2.0,89,Dorchester,0.71,6.2,4400,0,0,6.38,2.42,1.1,52,2017-04-10,0.34
3,616144,1786,3,1.5,83,South Boston,0.56,6.4,7026,0,0,6.38,3.04,4.8,30,2022-04-09,0.22
4,200000,1528,4,1.0,268,Roslindale,0.01,9.0,7586,0,0,5.19,1.42,3.8,52,2021-04-09,0.28
10,614308,2586,1,3.5,158,Mattapan,0.83,8.7,5843,0,0,5.45,0.94,1.4,40,2015-04-11,0.3
16,200000,2463,1,3.0,125,Charlestown,0.33,7.0,5273,0,0,7.74,4.25,0.5,29,2009-04-12,0.12
16,274829,1258,2,2.5,90,Beacon Hill,2.0,9.5,5459,0,0,3.06,1.41,1.8,29,2009-04-12,0.01
11,978124,2084,3,1.5,86,Beacon Hill,1.19,7.8,7855,1,17674,4.7,3.99,5.3,39,2014-04-11,0.03
8,985740,1119,2,1.0,71,West Roxbury,0.62,8.7,5952,0,0,7.45,2.9,5.1,43,2017-04-10,0.29
1,877637,834,5,1.0,95,South End,0.2,5.7,8044,1,7367,7.77,4.63,3.3,33,2024-04-08,0.01
2,459907,1361,3,2.5,63,Roslindale,0.16,6.0,4161,0,0,3.95,1.43,3.0,44,2023-04-09,0.3
17,735686,2403,3,3.5,39,Charlestown,0.29,6.0,2328,0,0,7.52,4.22,2.2,24,2008-04-12,0.01
7,748919,2467,2,2.0,82,South End,0.45,6.9,3661,0,0,5.7,3.9,3.2,20,2018-04-10,0.55
1,402490,2159,3,1.0,100,North End,0.25,7.1,3874,0,0,6.74,3.94,2.8,17,2024-04-08,0.39
1,1201019,2307,3,2.0,141,East Boston,0.51,7.5,8209,0,0,5.65,4.85,6.1,48,2024-04-08,0.35
8,1013208,2161,4,1.5,52,Jamaica Plain,0.13,10.0,6472,0,0,4.96,3.58,1.6,16,2017-04-10,0.33
1,683710,1350,4,2.0,86,Beacon Hill,2.66,8.1,3725,0,0,7.81,0.56,4.1,43,2024-04-08,0.13
2,758065,2102,3,2.0,113,Allston,0.08,6.2,6616,0,0,3.71,4.04,6.1,28,2023-04-09,0.29
6,812514,2360,4,2.5,111,Dorchester,1.88,7.0,4740,0,0,7.35,3.88,4.7,30,2019-04-10,0.39
9,200000,2328,4,1.0,192,East Boston,1.71,9.3,8269,0,0,7.59,3.21,1.8,31,2016-04-10,0.28
8,675846,2632,4,1.0,71,Dorchester,0.52,8.2,4332,0,0,6.54,2.49,1.2,120,2017-04-10,0.26
2,545404,2295,1,4.0,49,Dorchester,0.9,9.2,1922,0,0,4.39,3.07,3.9,26,2023-04-09,0.29
9,449513,2046,1,1.5,89,North End,0.4,6.3,4626,0,0,4.87,5.25,3.7,22,2016-04-10,0.3
2,665669,2549,2,1.0,73,Dorchester,0.7,5.9,4333,0,0,2.59,2.4,5.3,92,2023-04-09,0.34
3,1289305,1781,3,1.5,66,Roxbury,0.29,6.0,2313,0,0,3.82,1.41,4.3,17,2022-04-09,0.39
10,942252,1182,3,1.0,61,West Roxbury,0.25,6.4,6171,0,0,5.43,1.74,2.8,19,2015-04-11,0.39
8,578646,1685,3,2.0,100,Beacon Hill,0.6,5.4,7849,1,24334,2.36,3.46,2.7,57,2017-04-10,0.05
14,921774,1278,4,3.0,56,Fenway,0.48,7.4,2755,1,19869,4.05,5.51,1.5,44,2011-04-12,0.01
8,1169806,1327,4,1.5,125,Jamaica Plain,0.61,7.5,6945,1,10256,7.42,6.15,3.7,29,2017-04-10,0.09
6,1027390,1698,4,2.0,122,Brighton,0.24,9.0,3786,0,0,4.27,4.28,1.4,21,2019-04-10,0.31
